,Unnamed: 0,id,name,genre,keywords,exclude?,group,lowerDownloads,upperDownloads,rating,total_ratings,last_updated,weighted_rating,reviewer,second
68,225,com.realbyteapps.moneymanagerfree,Money Manager Expense & Budget,Finance,[spending],,spending,1000000,5000000,4.504457951,55180,18/10/2016,248555.9897,Blaine,
6,239,com.fitnow.loseit,Lose it!,Health & Fitness,"[eating, diet]",,diet,5000000,10000000,4.37560606,55268,30/09/2016,241830.9957,Luke,
69,207,com.expensemanager,Expense Manager,Finance,[spending],,spending,1000000,5000000,4.320051193,52536,12/08/2016,226958.2095,Arosha,
70,307,com.droid4you.application.wallet,Wallet - Budget Tracker,Finance,[spending],,spending,1000000,5000000,4.455467224,39645,23/10/2016,176636.9981,Ciaran,
103,119,com.gmail.jmartindev.timetune,TimeTune - Conquer Your Time,Productivity,[time keeping],,time,1000000,5000000,4.612754345,28398,16/09/2016,130992.9979,Ciaran,
58,322,com.northcube.sleepcycle,Sleep Cycle alarm clock,Health & Fitness,"[sleep, sleep]",,sleep,500000,1000000,4.499268532,26663,23/10/2015,119963.9969,Luke,
7,67,com.yazio.android,Calorie Counter & Diet Tracker,Health & Fitness,[diet],,diet,1000000,5000000,4.532596111,26138,29/09/2016,118472.9971,Blaine,Luke
59,22,com.azumio.android.sleeptime,Sleep Time Smart Alarm Clock,Health & Fitness,[sleep],,sleep,1000000,5000000,4.079797745,27670,03/10/2016,112888.0036,Luke,
126,109,de.aktiwir.aktibmi,Weight Log & BMI Calculator,Health & Fitness,[weight],,weight,1000000,5000000,4.501528263,22902,26/08/2016,103094.0003,Luke,
35,341,net.daylio,Diary - Mood Tracker,Lifestyle,[mood],,mood,100000,500000,4.649343491,21397,16/10/2016,99482.00268,Luke,
8,140,com.sparkpeople.androidtracker,Calorie Counter & Diet Tracker,Health & Fitness,[diet],,diet,1000000,5000000,4.411946297,22049,08/09/2016,97279.0039,Blaine,Arosha
